city,country,housing,cost of living,startups,venture capital,travel connectivity,commute,business freedom,safety,healthcare,education,environmental quality,economy,taxation,internet access,leisure & culture,tolerance,outdoors,lat,lng,iso3,population,mcmeal_combo,avg_monthly_net_salary,internet_60mbps
Belgrade,Serbia,9.2575,8.546000000000001,4.9095,2.333,2.1365000000000003,5.578250000000001,5.383999999999999,6.6995000000000005,6.0103333333333335,0.5,4.88325,1.638,4.1665,3.863,6.497,7.387,5.078,44.8178,20.4569,SRB,1197714.0,7.18,669.56,24.23
Belize City,Belize,4.6425,0.0,1.866,0.0,0.8900000000000001,0.0,3.4109999999999996,6.052,5.503999999999999,0.0,2.031,3.4959999999999996,6.930000000000001,3.8075,1.0645,6.865,0.5,17.4986,-88.1886,BLZ,38500.0,7.0,998.65,96.25
Bergen,Norway,5.229499999999999,1.805,2.207,1.0,3.2425000000000006,5.8875,9.635333333333332,7.7075,7.646666666666667,4.8395,7.539250000000001,7.0735,4.752,6.537000000000001,4.4875,7.6145,4.3134999999999994,60.3925,5.3233,NOR,291189.0,12.33,3218.31,50.09
Berlin,Germany,6.3950000000000005,5.524,9.085,7.820000000000001,7.024999999999999,6.1960000000000015,9.072333333333331,7.251500000000001,7.990666666666666,7.019000000000001,6.771500000000001,5.373500000000001,3.9035,4.677999999999999,8.881,7.177499999999998,5.475000000000001,52.52,13.405,DEU,4679500.0,9.48,3158.05,40.24
Bern,Switzerland,4.922500000000001,1.0,2.6875000000000004,0.0,5.2635000000000005,5.19775,8.888,9.266,7.520333333333333,5.3454999999999995,9.2445,6.552,6.4285000000000005,6.1145000000000005,4.245,8.589,2.1225,46.948,7.4474,CHE,134506.0,16.03,6090.17,54.39
Bilbao,Spain,6.888000000000001,5.638,2.668,0.0,4.1735,5.774750000000001,7.1196666666666655,8.7805,9.320666666666666,3.759000000000001,8.328000000000001,4.296,3.894000000000001,5.756,6.013999999999999,8.663,1.481,43.2569,-2.9236,ESP,775000.0,8.43,1949.29,35.12
Birmingham,United Kingdom,5.9035,5.814,4.3575,2.541,5.8450000000000015,5.4935,8.991999999999999,6.946500000000001,8.293666666666667,5.0265,5.7385,5.438,5.9545,5.940000000000001,4.4350000000000005,6.421,1.2675,52.48,-1.9025,GBR,2590363.0,7.38,2976.96,33.21
Bogota,Colombia,9.0275,9.079999999999998,5.7085,1.259,1.889,4.964,6.348666666666665,6.222000000000001,6.301666666666667,1.534,4.3475,4.5945,1.8515000000000004,2.9760000000000004,6.215,8.555499999999999,7.477,4.7111,-74.0722,COL,8034649.0,4.62,299.87,19.69
Boise,United States,6.9635,6.578,4.205,2.5960000000000005,1.3235,5.2250000000000005,8.671,4.3605,6.797333333333332,3.6245,8.069500000000001,6.5145,4.062,3.442,4.1995,6.9275,5.221,43.6005,-116.2308,USA,449428.0,8.55,3833.33,64.07
Bologna,Italy,7.472,5.189,3.1485000000000007,1.3969999999999998,3.682,5.53,6.189666666666666,7.337,8.577666666666667,4.202500000000001,5.460250000000001,3.3625,2.4365,7.7105,5.736000000000001,7.618,1.5815,44.4939,11.3428,ITA,387971.0,8.43,1678.37,29.83
